user,product,rating
2,C03,0.17480962796827704
2,E04,2.401616857333978
2,E05,2.3871403051253175
2,D03,1.7492706777383327
2,B02,4.564396345957073
2,D02,0.41402442803066763
2,C04,1.7947699293217227
3,A03,2.129021532599216
3,A05,0.7703419387830973
4,A04,0.6708879619747354
4,C02,4.3258196258597374
4,E01,3.8245306606690543
5,D04,2.9228946064581414
6,B05,0.6432116695344708
6,D01,0.0935240317788616
6,C05,3.882443150278867
7,B01,0.2382920421755591
7,D02,2.8617555620498365
7,C04,4.601258617148582
7,A02,3.240927042763685
8,B05,2.501618335496076
9,C03,4.51442616120562
10,A02,2.4429106608756372
11,C04,3.537184750996662
11,E04,2.4160138558265327
11,E02,2.303746562708753
11,B01,1.493333374863766
11,D01,3.33314714493046
12,E03,2.7136177983238614
14,A01,4.46521332290936
15,B05,4.511905959694726
16,B05,1.6482762893027818
16,E05,0.7488501664530606
16,A03,4.4904992816891856
17,D01,1.156154560727423
17,E05,1.0857175667749996
17,C05,0.5968160351779894
18,B05,3.7830084466300375
18,C05,3.9600285396280457
18,C02,2.9934379516241933
18,C04,3.1181132635873228
18,C01,0.025740852787496382
18,B04,0.8118605279628799
18,D03,2.689850652703822
19,B03,0.863722045904467
19,C02,1.8454341486879193
19,C03,2.778567573579091
20,A03,1.3084512629732687
22,C02,0.3615876947806923
23,B01,4.04103738016388
24,E03,4.100607968797195
24,C05,4.807103925993003
25,A01,0.939157496250741
26,D01,0.9201065778842865
26,C03,4.322178823395992
26,E03,0.6249701726385098
28,A05,4.778117765050736
29,B02,4.866215531323178
29,C05,1.6199648225603092
30,D05,3.0815549859399023
31,E01,1.1508204834518065
31,C01,4.140276646728213
31,B02,1.0831660044797968
32,E02,0.7921963201112392
32,B01,0.07103547903757668
33,D05,2.9907293489135345
33,B05,0.905980479478859
33,E05,0.9891459924004253
34,C03,2.3482441812124186
34,D02,2.9655271486955783
36,C04,1.6761236942092839
37,D03,1.5214991729163847
37,B03,3.9568047644588082
38,B04,4.756399757369708
38,D03,4.8443865331960065
39,C02,1.4360159207394885
39,A05,1.9398641702145043
39,A03,1.4382313660762542
40,A04,3.049223856295872
40,B01,3.6996184175712843
40,E04,0.24636287638506837
41,E01,4.3925846596573885
41,D01,0.8694874905212335
41,B02,2.774918763262253
45,A05,2.177744588108835
46,A01,2.5869920233672703
46,E03,0.6112389163610316
47,E05,4.284003953560255
47,D02,1.7037571235414173
47,C05,1.795828590944475
47,A05,0.46740721567102794
47,B04,0.6273323132267006
47,B02,4.25467212855854
48,C03,3.804014674073378
48,C05,0.3174909997514286
48,B01,2.756217625944491
48,A05,4.563770806419563
48,C04,0.637131684584139
48,E04,2.75439075091485
49,A03,1.9786839930627016
49,E03,3.4453563878559517
